sex,gravid,morph,capture_temp,substrate_temp,scars,ticks,mites,mass,svl,head_length,head_width,head_depth,bicep_length,forearm_length,hand_finger_length,femur_length,tibia_length,toe,autotomy,substrate_type
0,y,w,35.5,31.5,11,0,0,7.4,65.49,15.43,7.82,6.94,6.64,6.43,7.1,12.36,10.41,15.8,1,
0,y,w,31.3,34,11,0,0,7.1,66.13,15.22,8.66,6.59,6.38,6.26,7.48,11.44,9.81,14.72,1,
1,,y,35.4,33.9,1,7,0,7.6,65.69,17.7,9.68,8.39,7.2,7.38,8.95,15.1,11.5,18.49,1,
1,,y,26.3,25.6,4,1,0,9.2,66.47,18.64,9.84,8.45,7.22,7.62,9.42,15.23,11.36,18.27,1,
1,,o,33.5,19.3,6,1,0,7.8,63.9,17.36,10.1,8.58,7.29,7.66,9.05,13.54,11.17,17.23,0,
1,,w,37.1,25.2,9,10,0,11.3,68.5,18.6,9.71,7.72,6.95,7.54,9.16,13.97,11.64,17.95,1,
1,,o,34,34.1,10,7,0,8.6,69.13,18.49,9.96,8.47,7.21,7.68,8.47,14.54,11.53,16.98,1,
1,,w,40,45.7,5,4,0,8.5,68,18.33,10.73,7.58,7.63,7.26,7.88,14.17,11.69,17.52,1,
1,,o,28,19.9,3,11,0,8.2,64.63,17.78,9.79,8.35,7,7.58,8.19,14.71,11.4,17.41,1,
1,,o,30.1,24.5,8,10,0,8.4,70.2,18.65,8.94,7.63,7.33,7.35,8.99,15.29,11.95,18.56,1,
1,,o,32.4,28.1,5,25,0,7,62.01,17.1,9.11,7.84,7.75,7.5,8.3,13.76,11.23,18.15,1,
0,y,y,24.8,18.5,4,0,0,5.7,59.31,14.21,7.08,5.64,5.72,6.16,7.64,12.4,9.75,14.85,1,
0,n,y,33.1,41.2,1,1,10,3.5,51.09,13.2,6.55,5.3,5.61,5.43,0,8.14,8.79,13,1,
1,,w,32.8,37.6,2,0,0,5.6,62.45,15.5,8.03,6.9,6.15,6.17,7.7,13.14,9.72,16.11,0,
0,n,w,32.6,23.7,12,1,0,3.8,58.92,13.69,7,5.46,5.7,5.69,6.87,10.04,8.51,13.64,1,
1,,y,32.6,30.8,4,0,0,6.9,63.75,18.49,9.39,8.03,6.76,7.18,0,14.18,11.76,17.11,1,
1,,o,30.4,22.6,4,14,0,6.8,70.57,17.46,8.99,7.56,6.28,6.49,7.14,12.39,10.66,16.53,1,
1,,o,32.5,20.5,2,0,0,7.8,71.83,17.66,9.84,8.18,6.26,7.52,8.57,14.5,11.55,17.34,1,
0,n,y,35.2,34.8,0,0,0,3.5,52.01,13.07,6.56,5.9,5.55,5.5,7.03,10.05,8.84,13.85,0,
1,,y,34.4,33.3,9,1,0,7.5,64.16,17.18,9.46,7.53,7.68,7.57,8.07,14.15,10.72,16.61,0,
0,n,y,34.3,30.2,15,0,0,6.3,62.26,15.39,6.29,5.36,6,7.4,6.89,10.91,9.04,14.1,1,
0,y,o,30.8,36.6,1,11,0,7.2,67.7,15.06,7.46,5.97,5.47,5.97,6.94,12.31,9.58,14.66,1,
0,y,w,44.9,41.7,2,4,0,5.9,69.6,16.75,8.44,6.5,6.44,5.81,6.4,12.14,10.17,15.06,1,
1,,y,31.7,25.3,5,8,0,7.5,65.48,17.6,9.39,6.81,6.61,6.45,8.25,14.6,11.41,14.61,0,
0,y,w,30,25.2,7,0,0,4,56.4,13.85,7.36,5.89,5.06,5.29,6.72,9.99,8.59,14.38,0,
0,y,y,33.8,38.2,6,0,0,7.4,61.04,14.14,7.25,6.35,5.62,5.65,6.5,10.16,8.93,13.02,0,
1,,y,34.2,27,4,6,0,9.1,65.88,18.22,10.44,8.48,7.84,8.57,9.51,14.72,12.66,18.7,1,
0,,w,32.9,33.6,2,0,0,5,54.28,13.81,7.27,5.7,5,5.03,6.68,10.02,8.49,14.29,0,
1,,o,22.9,27,2,14,0,8.5,66.83,17.92,9.7,8.24,6.78,7.24,8.62,14.18,11.35,18.26,0,
0,y,y,31.7,26.2,1,0,0,6.2,63.39,14.26,7.35,6.6,5.89,5.94,6.91,10.74,9.05,14.78,1,
1,,o,36.2,33.6,2,33,0,9,66.2,17.83,10.44,8.27,6.94,7.03,7.66,14.09,12.01,16.81,1,
0,y,y,32.8,22.6,2,0,0,5.1,59.19,14.74,8.15,6.21,6.63,6.02,6.22,11.52,9.49,14.63,0,
0,y,w,34.7,18.8,9,13,0,6,64.81,15.41,8.24,7.18,6.77,6.87,7.68,11.78,10.22,14.62,1,
0,y,y,35.8,39.1,5,0,0,3.9,52.36,13.59,6.91,6.25,5.47,5.49,6.28,9.88,8.46,13.11,0,
0,y,w,39.3,39,4,0,0,7.9,60.44,13.59,7.29,5.73,5.06,5.08,6.59,10,8.46,14.32,1,
1,,o,30.1,24.5,1,6,0,7.8,65.67,17.81,9.99,8.5,7.3,7.29,7.64,15.47,11.54,17.43,1,
1,y,y,34,24.7,4,22,0,9.1,70.94,19.31,10.64,7.74,6.9,7.41,8.86,14.8,12.86,0,0,
0,y,y,35.9,26.3,8,11,0,5.6,59.16,14.32,7.71,6.39,5.7,5.72,6.52,10.25,9,13.09,1,
0,y,o,33.4,31.1,7,8,0,5.9,62.71,14.42,6.93,6.41,5.66,5.73,7.23,11.58,10.4,14.6,0,
1,,y,28.9,23,1,0,0,8.1,67.23,18.94,8.96,7.14,6.92,7.3,8.28,12.53,11.53,17.43,1,
0,y,y,28.9,24.2,6,0,0,5.6,68.05,15.58,7.69,6.28,6.48,6.24,6.99,12.69,9.63,15.29,1,
1,,o,27.7,30.2,3,0,0,6.7,62.03,16.6,9.84,7.26,7.4,7.06,8.33,14.08,10.85,16.86,0,
1,,w,29.4,24.1,8,2,0,9.1,69.65,17.9,9.99,8.15,7.42,7.41,8.89,13.64,11.55,18.44,1,
1,,y,29.4,22.8,7,1,0,8.1,68.6,17.84,8.79,6.73,7.58,7.85,8.65,13.97,10.63,0,0,
1,,w,32,22.9,4,0,0,5.1,57.94,15.71,8.2,6.55,6.02,6.13,7.99,11.83,10.34,16.59,0,
1,,o,34.1,25.8,4,11,0,8,67.67,18.33,9.59,7.48,6.73,6.66,7.59,13.97,11.2,17.65,1,
1,,w,35.2,30.1,3,4,0,8.1,67.23,17.28,10.92,8.14,7.53,7.61,8.57,14.65,12.29,18.52,0,
1,,o,34.6,29.2,4,12,0,11,70.38,19.14,10.26,8.39,7.95,7.95,8.35,15.97,11.86,18.33,0,
1,,o,34.1,35.7,3,7,41,8.5,65.8,18.3,10.26,8.6,7.35,7.54,8.66,14.9,11.08,17.63,0,
0,y,y,32.5,30.2,1,5,0,6.7,63.76,14.66,7.23,6.19,6.18,6.29,6.88,11.53,9.4,14.87,1,
1,,y,33.5,37.3,6,1,0,8.2,69.01,18.26,8.93,7.45,7.55,7.46,7.34,14.62,10.98,16.63,0,
1,,o,34.2,29.2,2,4,0,8,62.35,17.89,10.05,8.25,6.9,7.55,8.67,16.21,12.26,0,1,
1,,o,33.5,28.5,5,5,0,8.9,67.82,18.85,9.78,8.14,7.46,7.45,9.08,14.11,11.09,17.49,1,
1,,w,36.7,27.1,11,5,0,8.8,65.36,17.73,9.22,6.96,7.48,7.46,8.34,14.56,11.74,16.75,1,
0,y,w,33.4,32,15,3,8,5.5,62.83,15,7.66,6.36,6.21,6.2,7.64,11.68,10.06,14.92,1,
1,,y,33.2,33.3,2,2,0,8.9,71.64,19.16,9.6,6.97,8.12,8.15,9.14,14.42,12.53,19.4,0,
0,n,y,33.7,37.8,5,3,0,4.4,56.56,14.05,7.27,5.57,5.5,5.47,7.4,11.01,8.6,13.89,1,
1,,y,34.1,38,3,0,22,7.8,62.07,17.09,9.9,8.12,6.71,7,7.67,12.88,10.73,16.5,1,
1,,o,35.3,37.7,1,17,0,9,66.61,18.62,10.29,8.34,7.2,7.2,8.2,14.55,11.98,18.32,0,
0,n,w,34.2,31.5,5,2,0,4.9,62.13,15.64,7.75,6.01,6.12,6.12,6.71,12.19,9.82,14.9,1,
1,,w,34.7,34,14,0,0,8.3,66.88,17.77,10.79,7.9,7.34,7.58,10,14.33,11.88,19.5,0,
1,,w,33.1,27.6,10,3,0,4.6,55.93,14.52,7.1,5.69,5.61,6.09,6.13,11.14,8.13,15.27,1,
1,,y,28.5,26.3,2,0,0,6.2,65.64,17.26,8.21,6.45,7.32,7.41,7.45,13.25,10.22,17.02,0,
1,,w,26.1,32.1,8,2,0,6.1,61.81,15.43,7.95,6.84,6.01,6.04,7.64,13.11,9.57,16.02,1,
1,,w,27.3,26.3,10,0,0,8.8,64.81,16.57,8.78,6.26,7.3,7.26,7.88,14.01,11.12,16.25,0,
1,,y,30.1,30.8,2,0,0,8.6,72.43,19.2,9.63,6.99,8.16,8.2,9.16,14.51,12.6,19.49,1,
1,,o,29.5,28.4,8,8,18,8.7,65.85,18.66,10.3,8.36,7.19,7.22,8.18,14.5,11.91,18.23,1,
1,,w,31.3,25,11,1,0,5,56.92,14.61,7.13,5.8,5.72,6.16,6.2,11.21,8.25,15.38,1,
0,y,y,31.6,29.2,2,1,9,6.5,63.21,14.75,7.29,6.26,6.23,6.31,6.94,11.67,9.45,14.93,0,
1,,o,29,28.5,3,10,32,7.4,64.2,17.94,10.07,8.13,7.11,7.13,8.12,14.14,11.46,18,1,
1,,w,31.4,35.2,7,0,0,7.6,65.13,17.69,9.17,6.88,7.39,7.32,8.05,14.22,11.35,16.43,1,
0,,o,27.9,28.5,5,6,0,7.7,64.56,15,7.44,5.91,5.44,5.89,6.83,12.25,9.5,14.62,1,
1,,o,31.4,30.3,6,9,0,8.1,64.88,18.09,9.93,8.18,7.24,7.28,8.84,15.15,11.89,17.62,1,
1,,y,28.6,26.3,2,0,0,8.4,70.4,18.34,8.95,7.49,7.58,7.51,7.4,14.78,11.07,16.82,0,
0,y,y,31.4,27.5,1,0,0,7.5,62.14,14.39,7.21,6.09,6.16,6.25,6.8,11.48,9.34,14.81,1,
0,y,y,31.9,25.6,1,0,0,4.5,60.05,14.08,7.26,6.26,5.89,5.92,5.89,10.49,9.28,13.69,0,
1,,y,32.5,35.1,2,2,0,6.7,62.43,17.13,9.11,8.17,6.77,7.06,7.72,12.93,10.82,16.59,1,
1,,o,30.5,30.7,3,9,27,7.9,64.64,18.41,9.97,8.22,7.31,7.48,8.93,15.97,12.19,17.3,1,
0,y,y,32,32.1,1,0,0,6.1,62.67,14.58,7.19,6.14,6.18,6.23,6.82,11.5,9.31,14.83,1,
1,,o,32.2,29.9,4,5,14,8.3,67.37,19.22,10.01,7.79,8.13,8.19,9.15,14.93,12.96,19.62,0,
1,,y,34.5,29.4,2,0,0,9.4,68.64,18.13,8.77,7.36,7.48,7.39,7.25,14.6,10.85,16.44,1,
1,,o,32.9,24.3,1,0,0,8.6,70.13,18.73,9.87,7.55,6.91,7.1,9.55,15.03,12.17,19.03,1,
1,,w,28.3,26.9,2,2,8,6.2,60.27,16.61,8.24,6.87,6.55,6.74,8.08,13.03,10.28,16.05,0,
1,,w,32.8,24,3,0,10,6.5,63.96,16.39,7.77,7.16,6.53,6.56,9.3,12.56,10.57,17.6,1,
1,,w,33.5,25.3,7,0,14,8.5,67.76,18.8,10.6,8.13,7.11,7.33,8.75,14.3,11.21,18.12,1,
0,y,w,29,21,7,0,0,7.1,66.88,15.64,7.73,6.33,6.55,6.26,7.54,10.83,9.87,15.38,1,
1,,w,27.9,20,8,5,6,8.3,64.59,18.14,9.64,7.56,7.31,7.13,7.59,13.69,10.93,17.07,1,
1,,w,27,24.7,1,0,0,7.4,66.59,17.5,9.09,7.19,7.53,6.9,7.99,15.04,10.82,18,0,
1,,w,29.9,26.6,5,2,0,8.6,65.96,18.79,10.5,7.38,6.84,7.1,7.89,14.6,11.96,0,1,
1,,w,36.3,38.4,0,14,33,7.4,65.29,17.7,9.19,6.18,7.63,7.64,8.24,13.23,10.78,17.58,1,
0,y,o,26.1,26.3,11,0,0,5.9,63.37,15.01,7.95,6.14,5.91,6,7.09,10.64,9.32,14.58,0,
1,,w,31.4,26.7,1,0,2,6.5,62.32,17.08,9.06,6.56,6.6,6.58,7.54,14.37,11.13,16.02,0,
0,y,w,27.3,37.6,12,0,0,5.8,63.51,13.7,7.68,6.02,6.22,6.33,7.78,11.13,10.07,15.58,1,
1,,w,31.5,33.3,5,0,52,7.8,66.13,17.65,9.64,7.56,6.88,7.43,8.7,14.2,11.67,18.09,0,
1,,w,30.6,23.8,6,0,41,8,71.34,18.66,9.78,8.93,7.94,7.92,8.76,14.39,11.98,17.18,1,
0,y,w,30.1,33.2,5,0,84,6.5,63.29,14.94,8.18,5.8,6.41,6.74,8.17,12.16,9.59,16.04,1,
1,,o,35.2,29.2,4,0,0,9.2,66.95,18.44,9.77,7.73,7.23,7.4,8.83,13.96,11.2,18.69,1,
1,,w,32.4,33.3,4,0,0,7,63.25,18.54,9.61,7.73,6.89,6.9,7.99,14.05,11.73,17.46,1,
1,,w,34.1,33.6,2,0,5,6.7,60.9,16.57,8.77,6.88,6.55,6.08,7.99,13.52,10.92,16.97,1,
1,,y,33.9,34.1,4,0,0,6.6,62.56,17.25,10.13,7.73,7.36,7.29,8.14,14.43,11.57,16.61,1,
1,,w,30.2,30.8,6,0,0,6.3,61.36,16.35,9.12,7.1,6.72,6.6,7.77,14.25,10.29,16.6,0,
0,y,w,33.1,45.5,5,0,0,7.5,63.48,15.04,8.18,6.7,6.19,6.36,7.86,10.89,10.81,16.37,1,
1,,w,30.5,29.5,21,0,22,7,64.67,17.96,9.79,7.1,6.89,6.9,8.61,14.66,10.69,0,1,
1,,o,34.3,39.4,2,0,118,7.2,64.83,18.39,10.37,7.54,6.91,6.89,8.57,13.9,11.59,16.45,1,
1,,w,31.4,38.9,4,0,55,10.6,71.2,18.74,10.77,7.77,8.25,8,9.33,15.52,11.72,17.79,1,
1,,w,34.3,36.7,7,0,6,7,60.06,17.34,8.96,7.11,6.84,6.82,7.66,13.3,12.41,17.68,1,
1,,o,38.8,36.4,1,0,221,7.7,65.42,17.7,9.92,7.05,7.07,7.14,8.45,14.56,11.85,17.78,0,
1,,w,30.2,33.8,13,0,7,9.1,64.63,18.8,10.39,7.56,7.79,7.81,0,15.64,12.03,18.48,1,
1,,w,31.4,35.3,6,0,24,10,70.2,19.64,9.87,7.99,6.98,7.16,9.08,15.74,11.63,17.82,1,
1,,w,36,35,3,0,0,6.7,61.45,17.12,9.01,6.89,6.94,6.92,8.27,14.05,10.85,17.34,0,
0,n,w,37.2,41.3,3,0,4,4.6,58.42,14.37,7.49,5.57,6.08,5.8,7.33,11.16,10.14,15.46,1,
1,,w,33.1,33.5,8,0,14,6.1,58.68,16.44,8.93,6.49,6.44,6.37,8.12,13.44,10.54,15.74,1,
1,,w,35.2,34.6,8,0,15,10.5,71.3,18.64,10.79,7.99,7.67,7.66,9.37,15.29,11.53,17.66,0,
1,,w,31.5,31.3,5,0,14,7.7,63.42,17.23,9.58,7.41,7.26,7.44,8.44,14.27,11.03,18.09,1,
1,,w,28.1,27.1,4,0,30,8.2,67.67,18.91,10.75,7.45,7.79,7.84,8.89,15.31,11.68,17.84,0,
1,,w,30.2,31.2,6,0,44,8,66.65,19.03,10.21,7.59,7.97,7.48,8.02,13.74,11.89,18.3,1,
1,,w,33.2,41.1,6,0,53,7.9,73.92,10.68,7.76,7.73,7.79,7.91,8.76,14.77,12.47,18.59,1,
1,,w,31.6,30.4,7,0,9,8.6,68.6,18.99,10.5,8.02,7.88,6.77,0,14.28,11.9,17.8,1,
1,,w,32.7,29.7,6,0,21,10.4,72.48,19.44,10.38,8.49,8.13,8,8.6,15.34,13.11,18.83,1,
0,n,w,29.5,30.4,7,0,10,3.5,58.8,14.38,7.94,5.87,5.19,5.35,7.1,11.27,9.54,14.93,1,
1,,w,33.8,33.9,5,0,4,7.8,65.04,18.51,9.74,7.57,7.05,7.22,8.65,15.42,11.9,0,1,
1,,w,32.5,26.9,5,0,33,8.3,67.96,18.71,10.77,8.47,7.34,7.36,8.76,14.9,11.67,18.61,1,
1,,w,37.9,28.9,6,0,21,8.2,66.33,17.26,10.79,8.18,6.96,7.05,8.37,14.93,11.26,16.55,1,
0,y,w,34.2,33.7,18,0,25,5.7,61.08,15.35,8.57,6.44,6.46,6.32,7.22,11.42,9.59,15.62,1,
0,y,o,30.1,36.6,13,0,0,5.7,62.44,14.75,7.78,6.44,5.64,5.76,6.9,11.15,9.35,0,1,
1,,w,32.6,39.5,4,1,13,7.1,62.73,18.04,10.62,7.54,6.59,6.88,8.17,13.02,11.62,17.11,1,
1,,w,31,31.3,9,0,0,7.6,64.76,17.4,10.04,7.49,7.01,6.92,8.68,13.26,11.76,17.53,1,
0,y,w,31.3,38,13,0,0,6.5,64.77,15.7,8.07,5.88,6.1,6.09,6.53,12.16,9.78,15.48,1,
0,y,w,34.5,25.4,9,0,12,5.3,64.22,14.14,7.6,5.85,5.66,6.45,6.82,11.21,8.79,15.61,1,
1,,w,37.1,38.9,6,0,22,8.6,68.73,18.11,10.43,7.64,7.06,7.22,8.73,14.5,10.79,17.83,1,
1,,o,26.5,23.3,4,0,28,9,65.93,17.71,9.75,7.1,7.11,7.13,8.44,13.35,11.43,0,0,
1,,w,27.3,28.5,5,0,24,6.8,61.14,17.3,9.99,7.3,6.48,6.6,7.26,13.53,10.63,16.35,1,
0,y,o,29.9,29.3,12,0,43,5.8,65.18,15.42,8.17,6.17,5.94,5.98,6.49,11.49,9.8,14.55,1,
1,,w,30,30.4,10,0,13,8.1,67.13,17.92,10.04,7.51,7.12,7.01,7.05,13.79,11.24,16.83,1,
1,,o,28.4,30.4,2,0,138,6.8,60.44,16.83,9.14,7.28,6.28,6.52,8.01,13.27,10.3,16.78,1,
0,y,w,24.9,29.3,4,0,31,4.4,54.45,13.7,7.47,5.3,5.56,5.55,6.72,11.12,8.1,13.58,1,
1,,w,29.9,29.7,7,0,18,7.3,62.41,17.07,9.93,7.42,7.85,6.89,7.68,13.37,10.85,17.39,1,
1,,w,30.2,31.8,7,0,11,6.9,60.66,17.35,9.87,7.28,6.46,6.49,7.22,13.49,10.58,16.3,1,
1,,w,29.5,32.5,5,0,64,6.5,60.17,17.2,9.8,7.25,6.39,6.41,7.2,13.29,10.46,16.19,1,
0,n,w,30.8,31.5,8,0,5,5.7,61.83,16.98,9.73,7.19,6.33,6.35,7.14,13.25,10.39,16.14,1,
1,,o,24.7,23.2,4,0,71,9.5,71.3,18.35,10.12,8.23,7.93,7.79,8.56,14.85,13,18.02,1,
0,y,w,31.4,23.5,21,0,3,5.3,61.43,15.1,7.53,6.27,6.33,6.3,8.2,10.88,9.69,14.97,0,
1,,w,25,27.7,6,0,0,6.9,62.25,17,8.63,6.67,7.72,7.57,7.94,13.58,10.87,16.36,0,
1,,w,35.7,30.9,11,0,44,8,74.08,19.08,9.3,7.8,7.78,7.79,11.28,17.4,12.88,21.96,1,
1,,w,33.5,19.2,7,0,31,9.1,66.02,18.1,8.63,6.71,7.52,7.31,9.49,13.34,12.35,19.97,1,
1,,w,33.7,30.1,5,3,5,9.4,70.3,19.25,10.25,8.7,7.44,7.83,10.5,16.9,12.73,20.59,1,
1,,w,32.4,32.9,16,0,277,9.8,72.5,18.79,10.17,7.78,8.86,8.21,9.03,14.47,12.58,19.59,1,
1,,w,25.7,35.5,8,0,22,7.7,63.06,17.69,9.11,6.43,7.37,7.36,9.88,14.57,11.26,19.44,1,
1,,w,31.6,32.9,25,0,54,7.6,63.33,17.39,8.95,7.2,7.91,7.26,9.26,14.69,12.02,19.62,1,
1,,w,30.9,25.9,6,0,13,8,65.27,17.74,9.5,7,7.19,7.43,8.82,14.76,11.69,19.04,1,
0,n,w,31.5,28.6,6,0,17,5.1,60.05,15.58,7.47,5.79,7,6.76,8.03,12.2,9.97,17.59,0,
1,,w,37.2,36.2,16,0,0,8.2,77.04,17.85,9.07,6.24,6.92,7.18,9.67,15.2,11.55,18.18,1,
1,,w,27,31.3,14,0,0,8.6,66.79,18.03,10.49,7.46,7.79,7.7,9.57,14.67,12.85,21.03,1,
1,,o,34.2,28.7,7,0,13,10,73.82,19.57,10.16,8.11,8.12,8.26,9.4,15.24,13.08,20.15,1,
1,,y,33.1,32.7,12,0,83,8.8,68.69,19.51,10.38,7.66,7.57,7.4,11.08,14.71,13.08,20.26,0,
0,n,w,33.6,22.3,19,0,18,7.8,74.87,17.6,8.58,6.96,6.65,6.76,8.95,12.87,11.97,18.1,1,
1,,w,34.7,31.3,9,0,25,9.2,71.31,18.97,10.15,7.49,7.83,7.54,9.88,15.64,12.67,20.08,1,
1,,w,36.8,37.2,7,0,29,9.7,65.95,17.8,8.58,6.6,7.46,7.26,9.43,13.2,12.22,19.98,0,
1,,o,32.1,27.8,0,0,4,11.3,74.07,19.62,9.91,7.77,7.79,7.97,10,14.98,13.28,20.29,1,
1,,w,35.6,37.3,7,0,217,10.4,72.74,19.75,10.11,7.86,8.52,8.37,10.47,16.64,13.05,19.89,1,
1,,o,27.8,28.1,3,0,20,10.3,68.9,19.87,10.39,7.47,8.29,7.79,9.79,15.89,13.45,19.27,0,
0,y,w,31.9,34.5,5,0,0,6.6,64.2,17,7.37,6.04,6.65,7.14,8.45,13.15,10.72,17.38,0,
1,,w,34.9,32.3,4,1,3,8.4,66.66,18.55,10.05,7.65,8,7.77,10.19,14.45,12.77,20.93,1,
1,,w,30.1,29.2,12,3,68,9.4,70.82,19.59,9.85,8.04,8.35,8.32,10,15.75,13.01,19.15,1,
1,,w,34.5,32.2,4,0,10,8.2,71.31,19.94,10.76,7.52,8.2,8.19,9.96,15.57,12.72,20.42,1,
